name,state,right,department,description,auxilliarycolumn_ac1,auxilliarycolumn_ac2,auxilliarycolumn_ac3,inclusion_criteria,exclusion_criteria
Mini Mata Mahtari Jatan Yojna,Chattisgarh,Right to Livelihood,BoCW,"Female construction worker gets INR 20,000 during pregnancy",,,,"(fm.gender IN ('female', 'other')) AND (fm.pregnancy IN ('true')) AND (fm.has_bocw_card IN ('true') OR fm.job_type='bocw') AND (DATEDIFF('day', current_date(), fm.bocw_card_issue_date) > 90)",1=0
Chief Minister Shramik Tool Assistance Scheme,Chattisgarh,Right to Livelihood,BoCW,A one-time benefit of Rs. 1000 is provided to buy a tool kit (if tool kit is available then the kit is given),,,,"(fm.has_bocw_card IN ('true') OR fm.job_type='bocw') AND (DATEDIFF('YEAR', fm.dob, current_date()) BETWEEN 18 AND 50)",1=0
Chief Minister Unorganized Workers Cycle Assistance Scheme,Chattisgarh,Right to Livelihood,UoW,One cycle (per beneficiary) will be payable.,,,,"(fm.gender IN ('female')) AND (DATEDIFF('YEAR', fm.dob, current_date()) BETWEEN 18 AND 40) AND (fm.has_uow_card IN ('true'))",1=0
Naunihal Scholarship Scheme,Chattisgarh,Right to Livelihood,BoCW,"Children of construction workers get INR 500 - INR 5,000 per annum all the way from Class 1 to Postgraduate studies",SELECT father.has_bocw_card FROM family_members as father INNER JOIN families ON  father.family_id = fm.family_id WHERE father.family_role='father' GROUP BY 1 LIMIT 1,SELECT mother.has_bocw_card FROM family_members as mother INNER JOIN families ON mother.family_id = families.id WHERE mother.family_role='mother' GROUP BY 1 LIMIT 1,,"(""fm.family_role"" = 'child') AND (""ac1"" = 'true' OR ""ac2"" = 'true') AND (""fm.in_educational_institute"" = 'true')",1=0
Meritorious Student / Student Education Promotion Scheme,Chattisgarh,Right to Livelihood,BoCW,"Children of construction workers get INR 2,000 to INR 12,500 if they perform well in class 10th or 12th Chhattisgarh Board exams. An additional benefit of 1,00,000 is given if the child is in the top 10 of merit list.",SELECT CASE WHEN father.has_bocw_card='true' OR father.job_type='bocw' THEN 'true' WHEN father.has_bocw_card='unknown' THEN 'unknown' WHEN father.job_type='unknown' THEN 'unknown' ELSE 'false' END FROM family_members as father INNER JOIN families ON  father.family_id = fm.family_id WHERE father.family_role='father' GROUP BY 1 LIMIT 1,SELECT CASE WHEN mother.has_bocw_card='true' OR mother.job_type='bocw' THEN 'true' WHEN mother.has_bocw_card='unknown' THEN 'unknown' WHEN mother.job_type='unknown' THEN 'unknown' ELSE 'false' END FROM family_members as mother INNER JOIN families ON  mother.family_id = fm.family_id WHERE mother.family_role='mother' GROUP BY 1 LIMIT 1,,"(""fm.family_role"" = 'child') AND (""ac1"" = 'true' OR ""ac2"" = 'true') AND (""fm.tenth_percentage_marks"" >= 75 OR ""fm.twelfth_percentage_marks"" >= 75)",1=0
Noni Sashaktikaran Scheme,Chattisgarh,Right to Livelihood,BoCW,"First 2 daughters in a family get INR 20,000 is directly transferred to bank account",SELECT CASE WHEN father.has_bocw_card='true' OR father.job_type='bocw' THEN 'true' WHEN father.has_bocw_card='unknown' THEN 'unknown' WHEN father.job_type='unknown' THEN 'unknown' ELSE 'false' END FROM family_members as father INNER JOIN families ON  father.family_id = fm.family_id WHERE father.family_role='father' GROUP BY 1 LIMIT 1,SELECT CASE WHEN mother.has_bocw_card='true' OR mother.job_type='bocw' THEN 'true' WHEN mother.has_bocw_card='unknown' THEN 'unknown' WHEN mother.job_type='unknown' THEN 'unknown' ELSE 'false' END FROM family_members as mother INNER JOIN families ON  mother.family_id = fm.family_id WHERE mother.family_role='mother' GROUP BY 1 LIMIT 1,"CONCAT(CASE WHEN fm.family_role='mother' THEN 'm' WHEN fm.family_role='father' THEN 'f' WHEN fm.family_role='child' AND fm.gender='female' THEN 'g' WHEN fm.family_role='child' AND fm.gender='male' THEN 'b' ELSE 'o' END, RANK() OVER (PARTITION BY family_id, family_role, gender ORDER BY dob DESC))","(""ac1"" = 'true' OR ""ac2"" = 'true') AND (""ac3"" IN ('g1', 'g2')) AND (DATEDIFF('YEAR', ""fm.dob"", current_date()) BETWEEN 18 AND 21)",
Chief Minister Cycle Assistance Scheme,Chattisgarh,Right to Livelihood,BoCW,Construction worker receives cycle,,,,"((fm.gender = 'female' AND DATEDIFF('YEAR', fm.dob, current_date()) BETWEEN 18 AND 35) OR (fm.gender = 'male' AND DATEDIFF('YEAR', fm.dob, current_date()) BETWEEN 18 AND 50)) AND (fm.has_bocw_card IN ('true') OR fm.job_type='bocw') ",
Chief Minister Sewing Machine Assistance Scheme,Chattisgarh,Right to Livelihood,BoCW,Female construction worker receives sewing machine,,,,"(fm.gender = 'female') AND (DATEDIFF('YEAR', fm.dob, current_date()) BETWEEN 18 AND 50) AND (fm.has_bocw_card = 'true' OR fm.job_type='bocw')",
Pradhan Mantri Ujjwala Yojana,Chattisgarh,Right to Livelihood,BoCW,Free gas cylinders and stoves are provided to registered women laborers or registered construction laborers through the Food Department to the laborer's wife.,SELECT CASE WHEN father.has_bocw_card='true' OR father.job_type='bocw' THEN 'true' WHEN father.has_bocw_card='unknown' THEN 'unknown' WHEN father.job_type='unknown' THEN 'unknown' ELSE 'false' END FROM family_members as father INNER JOIN families ON  father.family_id = fm.family_id WHERE father.family_role='father' GROUP BY 1 LIMIT 1,,,"(""fm.gender"" = 'female' AND ""fm.family_role""='mother') AND (""fm.has_bocw_card"" = 'true' OR ""fm.job_type""='bocw' OR ""ac1"" = 'true')",
BoCW E-Rickshaw Scheme,Chattisgarh,Right to Livelihood,BoCW,INR 1 Lakh grant aid in,,,,"(fm.gender = 'female') AND (fm.has_bocw_card IN ('true') OR fm.job_type='bocw') AND (DATEDIFF('YEAR', fm.dob, current_date()) BETWEEN 18 AND 50)",
Scholarship Scheme for domestic workers,Chattisgarh,Right to Livelihood,UoW,"Rs.500/- to Rs.5000/- class-wise annual scholarship will be given in lump sum to 02 sons/daughters of registered contract laborers, domestic women workers and Hamal laborers studying",SELECT CASE WHEN father.has_uow_card='true' OR father.job_type='uow' THEN 'true' WHEN father.has_uow_card='unknown' THEN 'unknown' WHEN father.job_type='unknown' THEN 'unknown' ELSE 'false' END FROM family_members as father INNER JOIN families ON  father.family_id = fm.family_id WHERE father.family_role='father' GROUP BY 1 LIMIT 1,SELECT CASE WHEN mother.has_uow_card='true' OR mother.job_type='uow' THEN 'true' WHEN mother.has_uow_card='unknown' THEN 'unknown' WHEN mother.job_type='unknown' THEN 'unknown' ELSE 'false' END FROM family_members as mother INNER JOIN families ON  mother.family_id = fm.family_id WHERE mother.family_role='mother' GROUP BY 1 LIMIT 1,,"(""fm.family_role"" = 'child') AND (""ac1"" = 'true' OR ""ac2"" = 'true') AND (""fm.in_educational_institute""='true')",
Scholarship scheme for children of unorganized workers,Chattisgarh,Right to Livelihood,UoW,Rs.500/- to Rs.5000/- annual class-wise scholarship will be given to the first two studying children of the registered unorganized worker from class 01 to post-graduation level.,SELECT CASE WHEN father.has_uow_card='true' OR father.job_type='uow' THEN 'true' WHEN father.has_uow_card='unknown' THEN 'unknown' WHEN father.job_type='unknown' THEN 'unknown' ELSE 'false' END FROM family_members as father INNER JOIN families ON  father.family_id = fm.family_id WHERE father.family_role='father' GROUP BY 1 LIMIT 1,SELECT CASE WHEN mother.has_uow_card='true' OR mother.job_type='uow' THEN 'true' WHEN mother.has_uow_card='unknown' THEN 'unknown' WHEN mother.job_type='unknown' THEN 'unknown' ELSE 'false' END FROM family_members as mother INNER JOIN families ON  mother.family_id = fm.family_id WHERE mother.family_role='mother' GROUP BY 1 LIMIT 1,"CONCAT(CASE WHEN fm.family_role='mother' THEN 'm' WHEN fm.family_role='father' THEN 'f' WHEN fm.family_role='child' THEN 'c' ELSE 'o' END, RANK() OVER (PARTITION BY family_id, family_role, gender ORDER BY dob DESC))","(""ac1"" = 'true' OR ""ac2"" = 'true') AND (""ac3"" IN ('c1', 'c2')) AND (""fm.in_educational_institute"" = 'true')",